,Comentario,Score
15,"La habitación y las instalaciones se encontraban limpias, el hotel está muy céntrico te puedes mover sin problema. El personal muy amable sobretodo la señorita Isa pues me ayudo a resolver un problema durante la madrugada, muy servicial.",4
16,"Excelente servicio, me agradó mucho la atención, todo impecable, se siente muy acogedor, súper ultra agradecida con Estefany Garza, sus atenciones fueron de otro nivel, pronto iré de nuevo, espero me vuelva a atender ella.",5
17,Quiero agradecer la atención y recomendar hotel misión muy buena zona Excelente atención muy amables todos en especial la Señorita Estefany Garza Muy buena limpieza y mucha calidad en los alimentos Muy atentos a mis necesidades!!!,5
18,"Un lugar muy céntrico, muchos lugares que visitar cercanos, sin problemas para realizar el check in, un buen servicio del personal, en particular la atención de la srta. Isa excelente, amable, respetuosa y sobre todo cordial.",4
19,Excelente servicio por parte de los empleados la Srita Ana Soni muy amable 😉 las habitacionds preciosas y todo super cerca me encanto 😍🙏en mi proxima visita me instalo nuevamente con ellos gracias 👍😁,5
20,Excelente servicio de hoteleria las habitaciones muy cómodas el servicio del personal muy amable la gerente stefany muy cordial nos mostró las instalaciones y nos Dio excelente tarifa la ubicación es perfecta todo a la mano,5
21,Me agrado estar hospeda en hoteles misión por parte de recepción muy agradables chicas y el Sr. Jaime en parte de restaurante muy atento gracias por los servicios brindados espero vernos pronto... Saludos,5
22,"No lo recomiendo para nada, llegamos el jueves por la noche, 8:30 pm aprox teníamos 2 habitaciones reservadas, 617 y 619 , al llegar y abrir la primera el olor era realmente desagradable pero no vimos hacia adentro, cuando ingresamos a la otra habitación era realmente un olor insoportable a húmedo, viejo, encerrado , muy mal, a simple vista la habitación no correspondía a las de las fotos de la página, está era horrible, la cama King size muy sucia, con boronas, manchas cabellos y vellos por todos lados, claramente no habían hecho aseo previo en la habitación , no había toallas, ni controles de ac y tv, al ver el otro cuarto las colchas tenian manchas y el closet con puertas caídas, cuando baje al lobby para hacer estas observaciones me dijo la recepcionista que iba a mandar a",1
23,Muy buena atencion y actitud d por parte de la camarista la señora coco muy atenta me ayudo mucho con la limpieza de mi habitacion todo estaba muy bien y la atencion de recepcion por parte de miriam todo estuvo perfecto,5
24,"Excelente ubicación , cerca de todo lo importante en el Centro de Monterrey . La Señorita Melina de recepción nos atendió muy amablemente . Para mí próxima visita volveremos , la verdad si lo recomiendo .",5
25,"Es mi primera vez en Hotel Misión y fue una buena experiencia, a mi llegada Miriam y Melina nos atendieron muy bien. En restaurante también muy buena atención. Solo un punto a mejorar es el Wifi , no hay buena señal",5
26,"Las instalaciones me parecen bien aunque un poco descuidadas, el trato de los empleados es bueno, en especial de las recepcionistas Miriam y Xochitl que reciben bien , aparte que aclararon unas dudas que tenia.",4
27,"Mi estadia en el hotel fue excelente ya que el servicio que se me brindo por parte del personal, en especial xochitl y miriam recepcionistas del hotel fue muy amable y me hicieron sentirme muy agusto los dias que me quede! 👍🏻",5
28,"este mes estuve hospedado en el hotel misión de monterrey, es un hotel un poquito descuidado en cuestión de las habitaciones, sin embargo la atención es buena, tratan de brindarte la mejor experiencia, sobre todo las recepcionistas cuando llegas al hotel en especial una que se llama Xochitl que si tuvimos algunas molestias en cuestión las aminidasdes y sin problema nos soluciono los detalles con mucha amabilidad, es buen hotel si volvería a visitarlo cuando este devuelta por el lugar.",4
29,La verdad tengo que confesar que el hotel es un poco viejo y descuidado pero sin embargo la atencion que recives es muy buena ya que todos en general te tratan muy bien sobre todo la recepcionista Miram que nos resivio con mucha amabilidad y nos dijo lugares que podiamos visitar que ella tuvo el justo de visitar,4
30,"Mi estadía en el Hotel fue muy sarisfactoria, el personal del hotel muy atento, siempre al pendiente de los huéspedes, sobre todo las señoritas Míriam y Xochitl siempre muy amables y serviciales, excelente servicio.",5
31,"Hola, muy buena la atención de Miriam y Xochitl. Muy atentas , muy sonrientes y lindas en todo momento. Que bueno que tengas trabajadores así , que brinden un buen servicio, se ve que les gusta su trabajo. Me hospedare más seguido en este hotel ! Exelente servicio! 👍",5
32,"Me apreció un lugar con una excelente ubicacion sus instalaciones no son las mejores pero aun asi mi estancia no se vio opacada por esto, en el restaurante la comida estuvo muy rica y de excelente calidad, en cuanto a recepcion las señoritas Miriam y Xochitl fueron muy atentas y amables lo cual me parecio una increible bienvenida por parte de ellas , viajé para la cuidad de monterrey por un evento familiar y repito por la buena ubicación mis familiares no tuvieron problemas en reconocer este hotel.",5
33,"La recepción super profesional, recamaras limpias y buen espacio. Muy buen trato al cliente. Algo de lo que me podría quejar seria en la rapidez en la que tienen con ciertos empleados, como si faltara personal. La señorita Miriam que nos atendió, super linda y atenta, muy buena atención.",4
34,"Somos un par de amigos realizando viajes enoturisticos, viajando desde la ciudad de Mérida. Esta vez tocaba llegar al norte así que la primera noche sería en Monterrey. Decidimos hotel Misión por lo de Centro histórico (no hay mucho cerca que ver) se reservo con más de un mes de anticipación. La persona de reservas de nombre Maribel, juro que todo estaba listo. Durante el día que llegamos nos mantuvimos en contacto ya que el check in es a las 15 hrs y nosotros llegábamos a las 18 hrs. ( Ella seguí jugando que estaba todo listo) llegamos, de 9 habitaciónes que nos entregaron 3 de ellas al entrar estaban ocupadas, 2 más en estado sucio ( sucio que acaban de salir gente no crean que un poquito de polvo) imaginarán el relajo para reubicarme 5 habitaciones 2 de ellas triples.",1
35,"Suciedad por todas partes, falta de atención, dan habitaciones ocupadas, toallas escasas y sucias, olor a caño en el baño, las sabanas amarillentas, se nota una total falta de mantenimiento y limpieza; fatal para un hotel que se supone es de cadena.",1
36,El hotel está muy bien no tengo quejas de nada la atención me parece buena la srita Carmen muy buena actitud muy buena atención en general todo muy bien las habitaciones muy limpias muy buena hospitalidad,5
37,"La habitación no tenía toallas Pedimos con la camarista y nos dijo que no había toallas. En el restaurante devén checar bien los alimentos, encontramos salchicha agria en el desayuna y que haya más variedad tanto en desayuno y comida En recepción todo bien.",4
38,La atención en muy buena las avitaciónes en un buen estado la comida muy buena Laverda lo recomiendo ampliamente 👍la atención de la señorita Carmen fue muy buena es muy atenta y nos ayudo en todo momento,5
39,"Tuvimos una muy buena estancia en el hotel, gracias a las buenas atenciones hacia nosotros, ya que cuenta con todas las comodidades e incluso con un buen restaurant con una muy rica comida, y gracias a Katia con su muy buena actitud y buenas atenciones",5
40,El hotel está muy bien la atención de recepción muy bien la chica Carmen me ayudó a solucionar un detallo yo muy eficientemente la estancia muy bien solo en cuestión de la habitación no teníamos toallas pero todo bien,4
41,Muy buena atención por parte de Carmen el hotel muy cómodo se duerme muy agusto las habitaciones estaban excelente muy buena atención en general si volvería a hospedarme en misión 😝 solo le falta una alberca,5
42,"La atención de recepción estuvo muy buena y con buen servicio de parte de Kathia! Coon hospedaje cómodo, fresco y buena atención El restaurante tiene muy buena comida y buen bufete con costos baratos!",5
43,Muy bien servicio exelente hotel buen servicio en la recepción buena comida en el restaurante buen servicio en general recomendable para toda todas las personas que agan su recervacion excelente servicio Katia nos trató muy bien,4
44,Me gusto mucho el restaurante el pueblito y nos trataron muy bien y nos gustó la comida que hacen es buffet Kathia nos trato súper a la hora de llegada en el hotel y tiene buenas habitaciones y están cómodas,5
45,"Es un muy buen lugar para hospedarse y con buena ubicacion, tienen mucha gente pero nos atienden rapido Y la señorita Kathia se portó muy bien con nosotros Reservamos cada año aquí ej este hotel 👍👍👍",5
46,El hotel esta muy bien la atención de recepción muy buena por parte de la señorita Carmen la limpieza de las habitaciones muy buena y cómoda si volvería al hotel sin duda alguna regresaría al a. Sólo le faltó enfriar un poco más al clima,5
47,"Me gustaria dejar mis comentarios y lo hago con la intencion de que puedan mejorar. UBICACION: Muy buena, caminando puedes lelgar a la macro plaza, barrio antiguo etc. LIMPIEZA: Entiendo por el tema del agua no limpien tan seguido y otra cosa olia mucho a caño en la recepcion en ciertas ocasiones en la habitacion. COMODIDAD: La verdad es que las camas y las almohadas estan muy bien. El hotel no nos proporciono toallas en la hab. los primeros 2, la pirmera noche nos secamos con la ropa (algo incomodo) hasta el tercer dia dejaron toallas en la hab. y el servicion de la rececpcion en el proceso de chek in demasiado lento. PD: Trabajo igual en la industria hotelera de cancun.",3
48,Excelente atención de la Srita.Reyna Medina que siempre estuvo atenta y el personal de recepción José Martín Morales de mantenimiento que siempre estuvieron pendientes. El gerente Oscar con una actitud excepcional. Cada mes voy a Monterrey y difícilmente cambiaría de hotel. Felicidades!,5
49,Mi opinión es que deberían seleccionar mejor a su personal de recepción ya que no tienen mucha amabilidad ni atención mi habitación fue buena la atención de la señora coco fue muy buena y amable espero volver y topar con más gente amable,4
50,"El hotel es bueno mi estadía en el hotel fue buena la atención de la camarista coco fue muy agradable y servicial, solo comí una vez en el restaurante y la comida no fue mucho de mi agrado pero de ahí en fuera todo bien.",4
51,Muy bien trato y si ai agua mos tratan mui bien en resepsion y nos ayudan com lo que les pedimos Habitasiones comodas y com buen presio Gracias a melina y katia que nos atendieron Exselente hotel volveremos,4
52,La recepcionista muy buena atención con nombre de KATHIA XOCHITL muy buena la atención y muy buena las habitaciones muy buena las duchas muy bueno higiene súper limpio el hotel muy bueno y no es tan costoso,5
53,Me encantó la atención de la señorita Carmen las habitaciones impecable y dentro de lo que cabe la atención en general súper bien solo el internet un poco lento 😁😁😁😁😁 la vdd si volvería al hotel sin duda alguna 😀😀😀😀😀😀😀😀😀😀😀😀,5
54,Vine a conocer la ciudad de Monterrey y decidí quedarme en este hotel porque me pareció bueno las recepcionistas Melina y Mirian me atendieron bien y el restaurante muy bien porque no batalló en el desayuno,5
55,"Me quede en el hotel porque no tenia más opciones, al principio no quería porque escuché malos comentarios pero, en lo personal mi estadía fue de lo mejor ya que todo me pareció muy bien y estaba en el mero centro nos llevamos buena impresión y buen trato de las recepcionistas Miriam y Melina que nos atendieron",5
56,"Me pareció muy bueno el hotel, lo agarre en promoción y para estar en el centro de la ciudad es bueno, ya que recorrimos mucho a pie por la cercanía el personal también nos pareció muy atentos en recepción al llegar nos atendió Melina y Miriam y en general me gustó",5
57,"La estancia en el hotel es buena la atención de la señora coco camarista es muy buena, muy amable y servicial espero en mi siguiente visita tocar en el mismo piso y sea el mismo servicio Aclaración la comida lo fue de mi agrado.",4
58,"Muy buenas experiencia, excelente atención por parte de las recepcionistas Carmen y Xochitl. Desde que nos recibieron nos trataron muy bien todos en general, volvería a venir ya que es muy agradable el ambiente.",4
59,En general muy buena atención por parte de todo el personal nos atendieron súper bien la comida super rica la atención de la recepcionista Carmen súper buena nos apoyo en todo momento nos hizo sentir como en casa,5
60,Muy bn trato en recepción del hotel la misión por parte de su colaboradora carmen al momento de realizar la reserbacion de mi habitacion El lugar se persive muy confortable y limpio Su restaurante se be en buenas condiciones y limpio,5
61,La atención es muy buena la atención de el personal súper buena la atención la señorita Carmen es muy buena es muy amable eficiente y súper buena actitud siempre muy amable y sonriente al igual que la señorita miriam,5
62,Excelente atención super buen servicio por parte de todo el personal que está en el hotel son demasiado eficiente las habitaciones super limpias las señoritas de recepción Miriam y Carmen super buenas personas,5
63,La atencion que recibimos es super buena atencion por parte de todo el personal del hotel las habitaciones estan super limpias la atencion de la señorita carmen es super buena y efciente siempre nos recibio conuy buena atencion,5
64,"Excelente servicio y cordialidad en el área de Recepción, en especial de la señorita Kathia Ruiz. se preocupa por apoyar al huésped. el tiempo de cobrar y generar facturas es bueno. no te hacen esperar casi nada.",5
65,"Horrible! no se dejen llevar por los buenos comentarios, NADA Q VER con las fotos que ponen, literal dormí con una blusa que traía de manga larga y tapándome con la toalla, ya que las colchas daban asco, nada mas donde quise destender la cama para dormir, me encuentro pelos y manchas como de lipstick... no tuve tiempo de reclamar ya que fui a un festival y llegamos de madrugada super cansados. Creo que hasta me salió muy caro, no hubiera pagado ni la mitad del costo por ese cuarto. No se que otra palabra decir mas que ASQUEROSO!",1
66,Muy buena atención por parte de todo el personal del hotel siempre con muy buena actitud y nos reciben con una sonrisa todos los días las señoritas de recepción Carmen y Miriam nos apoyaron mucho cuando solicitamos apoyo,5
67,"Nos gusto mucho hospedarnos en Mision ya que, nos hacen sentir Como en casa y El personal muy amable por parte de recepcion la srta.Melina nos trato super bien cualquier cosa que necesitamos, nos resolvian de inmediato sin dude me volveria a hospedar Aqui en mis proximal viajes",5
68,"Andabamos de rumba con mis amigos en monterrey y la pasamos muy bien ya que nos mostraron buenos lugares y buenos restaurantes para visitar, volveremos pronto a visitar el hotel con mas amistades Gracias Miriam y Kathia por su atencion",5
69,"Vinimos a este hotel para ver como estaba y nos vamos muy cómodos El hotel está cómodo y muy bien ubicado, gracias a Melina y Miriam que nos recomendaron buenos lugares para visitar y salir a conocer 👍",5
70,"En el hotel misión vinimos por trabajo con varios compañeros y nos ofrecieron buenas tarifas, buena ubicación y nos ayudaron la señorita Miriam y Xochitl Muy buen trato volveremos pronto y con más compañeros",5
71,"Tuvimos una estancia muy placentera en el hotel Misión el día 22 de Mayo del 2022, ya que nos pareció muy bueno el servicio que nos brindó la señorita Kathia, nos explico todo lo relacionado con nuestra habitación.",5
72,"Vine por estudios y trabajo al hotel y me voy con una muy buena experiencia, el hotel en sí es bueno y con buena presentación Las chicas de recepción me trataron muy bien, en especial la señorita Kathia Muy buen experiencial",5
73,Muy bonito la atencion por parte del personal las señoritas de recepción son muy atentas y siempre nos reciben con muy buena actitud y una sonrisa la señorita Carmen es muy amable y es muy atenta para apoyar cuando se necesita,5
74,Excelente atención muy buena atención por medio de recepción y si hace falta una alberca por el calor muy buena atención por parte de las señoritas de recepción que nos atendieron muy amablemente la señorita carmen,5
75,Instalaciones excelente muy buena atencion por parte de la señorita Carmen si volveria al hotel exelente servicio y atencion hacia nosotros solo falta un pocó de limpias en las habitaciones pero fuera de eso todo bien,5
76,Muy buen servicio en el cuarto especialmente para la muchacha Verónica Yaneth siempre estubo al pendiente de todo lo que nesesitabamos también los cuartos y la vista es la mejor recomendado cien por ciento,5
77,"Atención buena por parte de recepción carmen fue se mucha ayuda aunque nos hicieron esperar mucho tiempo , el Internet muy lento , habitación muy limpia elevadores muy limpios es un hotel muy limpio es muy cómodo y muy buenas vistas",5
78,"El hotel da un muy buen servicio y las recepcionistas muy amables con nosotros los hospedados, me gusto mucho el hotel yo volvería pronto Ivonne nos atendió y fue buena con nosotros Es un buen hotel lo recomiendo",5
79,"El hotel esta muy la habitación, esta en buenas condiciones dan buena atención en recepción Kathia es muy buena ayudando a los huéspedes Muy buena comida que dan en el restaurante y todo muy fresco Lo recomiendo para visitar",5
80,"Mi estadía en el hotel Misión fue muy agradable, me agrado mucho que tiene una excelente ubicación ya que se locqliza en el mero centro de la ciudad con fácil acceso a cualquier lugar y la atención que te brindan es de lo mejor desde que llegas con las señoritas de recepción Kathia y Melina todo excelente",5
81,Vinimos a pasar un fin de semana familiar y estuvo muy cómoda toda nuestra estancia Kathia y Xochitl nos recomendaron buenos lugares para visitar con nuestra familia y pasar un buen rato Muchas gracias por todo pronto volveremos,5
82,"Excelente servicio por parte del personal y la sñorita kathia y Melina de recepcion super amable. muy comoda mi estancia sin duda, me volveria a hospedar aqui , ademas de su excelente ubicacion porque esta en el centro",5
83,"Tienen muy buen precio, buena ubicacion y las recepcionistas nos trataron muy bien En especial Kathia que estuvo al pendiente de nuestro hospedaje y nos ofrecio buenas tarifas y una habitacion muy comoda",5
84,"El hotel esta muy bien ubicado Nos traron muy bien las chicas de resepcion Miriam y Katia nos ayudaron en nuestro hospedaje y se portaron muy bien con nosotros, volveremos pronto para seguir trabajando",5
85,"Nos íbamos a quedar en éste hotel. Llegamos de manejar 8 horas y queríamos descansar y bañarnos, pero las instalaciomes no están limpias, llegamos a nuestra habitación y el baño tenía papel tirado del huésped anterior, la regadera estaba sucia y las ventanas sucias. Esa fue la primera impresión que tuve, ya ni siquiera quise ver como estaba la cama. Solicité el cambio de habitación y no estaba tan mal como la anterior pero se notaba la falta de limpieza. Al final decidimos pedir el reembolso y nos fuimos.",1
86,"La atención de Kathia siempre fue muy atenta, intento ayudarnos en todo momento mientras esperábamos un largo tiempo en que nos pudieran entregar la habitación Al hotel le falta mucha atención, estaba limpio (de manera superficial) pero se nota un poco viejo y descuidado.",3
87,"Económico, sencillo, atención al cliente y accesible. Lo único malo durante la estadía fue que hubo un grupo de personas muy escandalosas y no se les puso alto. De ahí en más, bastante cómodo. La srta. Kathia Ivonne prestó buen servicio y buena actitud.",4
88,"Horrible, el hotel sucio, descuidado, viejo, sin teléfono, sin toallas, apestoso. Y no me resuelven la devolución ya que tuve que cancelar por todos los inconvenientes ya referidos. No lo recomiendo es un robo, fraude, las imágenes del hotel que muestran son falsas",1
89,"Muy buen servicio de Kathia un gusto volverla a ver en el hotel Las habitaciones muy bien el espacio, grandes y cómodas La limpieza muy buena Lo recomiendo y volvería a venir a este hotel en mi próxima visita",5
90,"Horrible experiencia. El personal es muy indiferente y no ayuda en nada a los huéspedes. Tardé más de una hora para hacer check-in porque sólo había una persona atendiendo y, además, se quedaron sin llaves y no podían dar habitaciones. El hotel está muy descuidado, viejo y demasiado sucio. Las habitaciones son amplias pero parecen de motel de paso. Las sábanas sucias, sin toallas en el baño y una alfombra que daba asco. No hay teléfono en la habitación, así que hay que ir a la recepción para solucionar cualquier situación. Hay mejores hoteles en la zona por el mismo rango de precio. Este no vale lo que cobran.",1
91,"Pues está muy bueno el servicio la señora lety nos atiende muy bien la comida muy rica excelente servicio las instalaciones están perfectas también la recepcionista roció es muy amable , y es muy cómodo el hotel",5
92,"Dejando mi buen comentario ya que llegamos muy tarde a mty y cansados, nos trataron de maravilla, el hospedaje, austero pero cómodo y limpio, incluye el desayuno y todos muy amables, la comida preparada por la señorita Alondra Valli deliciosa sobre todo el guisado de puerco con nopalitos, la señorita Lety muy atenta y agradable brinda un súper trato...",5
93,"El hotel está cerca de mi lugar de trabajo, sin embargo, la atención de todo el personal ha sido muy buena, en especial Leticia Gutiérrez, quién me atendió en el área de cocina, muy amable y atentamente.",5
94,"Durante nuestra estancia nos atendieron bien y nos dieron buen servicio, lo recomendamos ampliamente las habitaciones están limpias y las camas cómodas así es que adelante si usted desea o tiene una visita a mty no dude en hospedarse aqui",4
95,Muy atentos pero el cambio de habitación no fue mucho de mi agrado ya que para resolver lo del control de la televisión tardaron mucho en dar una respuesta aunque nunca fueron desatentos solo mala información al registrarse,4
96,"Desgraciadamente el buen servicio de los chicos de recepción y restaurante se ven opacados por el pésimo estado de las habitaciones, sábanas manchadas, cabellos en el piso, deberían poner más atención",3
97,"La colcha estaba llena de residuos o fluidos de alguna persona. No hay limpieza y muy deteriorado. No lo recomiendo en absoluto, tuve que cambiar de hotel. Pérdida de tiempo, muy mala experiencia y más en estos tiempos que debe uno cuidarse al máximo Por lo que se vive de COVID",1
98,"Yo lo recomiendo por el precio, la ubicación, la comodidad de las habitaciones, el trato amable del personal y el estacionamiento, en algunas ocasiones que viajo a monterrey con la familia o amigos Me hospedo en mision mty centro.",4
99,"es un hotel que frecuento por trabajo, la ubicacion es centrica, esta ultimo hospedaje fue muy pesimo el servicio las habitaciones se ven en mal estado les falta mantenimiento. el personal no es atento. creo que falta personal.",2
100,Me gustó todo es servicio muy bien atendido como es las recámaras en excelentes condiciones muy limpias y las recámaras ni decirlo súper cómodas para descansar y los desayunos muy ricos excelentes comidas me sentí como en casa muy casero muy rico un personal muy amable muy atentos gracias también ala señorita Leticia Gutiérrez por su atención muy amable y cordial con nosotros los huéspedes muchas gracias por todo,5
101,"Mi estancia fué agradable, sin embargo, la vez anterior fué mejor, en cuanto a una mejor habitación y a que las toallas de baño estaban en mejor estado. Además de que los equipos electrónicos (TV y aire acondicionado), no presentaban detalles para su funcionamiento.",4
102,"Baños llenos de cabellos, cortina con manchas amarillas que no parecen de hongos Muebles sucios Tienes que pagar para mejorar la velocidad del Internet Deficientes medidas sanitarias (covid-19) Televisión con pocos canales e imagen de muy mala calidad",2
103,"Muy rica las comidas, los guisos y demás y muy bien atendidos, la Sra. Lety Gutiérrez nos atendió muy amablemente y con buena actitud, nos gusto mucho todo, la estancia también muy buena y muy cómodos.",5
104,"Un buen servicio por parte de la señorita Lety Gutiérrez, muy servicial y atenta para todo. La comida muy buena y calienta, un muy buen sabor y de calidad, buena higiene con sus respectivos cubre bocas",5
105,Desalluno repetivo necessitan mas variedades la atencion en el servicing exelente con la señiora Lety Gtz buen servicio mesas limpias I el buffet siempre esta bien nunca esta bacio el lugar esta al 100% gracias,5
106,"Muy buen hotel, están muy buenas las anteciones, es un hotel muy seguro y comida esta excelente. Pero sibre todo la atención de la señorita KATHIA fue muy amable muy atenta sobre todo su carisma de entendernos",5
107,"Me agrada mucho la atención en este hotel de las áreas de recepción y restaurante, así como la recamarera del piso 2 Coco, pero quiero agradecer y felicitar especialmente a Kathia García de recepción ya que es una chica que se nota que le gusta su trabajo es amable, atenta, resuelve tus dudas y busca soluciones en el momento, ojalá hubiera más recepciónistas como ella.",5
108,"Excelente lugar para hospedarse en cuestiones de trabajo y descanso. El trato fue maravilloso, en especial de la señorita Kathia, quien es extremadamente atenta y esmerada en su trabajo. Un lugar increíble.",5
109,Agradezco la informacion propprcionada por el recepcionista Uriel Cristobal de los protocolos de desinfección y sanitizacion. Personalmente comprobe la autentizidad de la informacion y tengo la confianza de recomendar el hotel con mi familia y amigos.,4
110,"Un muy buen servicio del hotel, buena atención del restaurante Me hospede de larga estancia y me sentí muy cómodo con la habitación La señorita Kathia se porto muy amable y me hizo sentir más seguro por la ciudad",5
111,"Excelente recibimiento de parte de kathia en la recepción, el lobby bien sanitizado Impecable en cuestión de higiene y sanitización las habitaciones y la estancia estuvo super cómoda y confortabl, espero regresar pronto",5
112,"Non es el mejor hotel por el precio en el barrio pero es correcto. Un hotel moderno un poco frio sin encanto pero puede ayudar si no hay otro opcion. Muy bien ubicado en el centro del centro, limpio y bien amueblado, las camas son buenas.",3
113,Muy limpio muy buena ubicación muy buena atención de si entregan los cuartos a tiempo y limpios en el restaurante tienen buena comida y a los alrededores hay muchos restaurantes y lugares a donde salir muy buena atención de la señorita Alejandra Nava,4
114,"El hotel está muy bien y queda cercas d3 a donde iré así que no me preocupo por la distancia Recepcionista Katia y Jazmin muy buen amable me ayudó Habitación muy buen y bonita, esta espaciosa y así me siento cómodo",5
115,"Esta muy bueno el servicio son muy buenas las chicas del hotel, en especial la señorita katya Siempre atentas y ayudandonos Siempre hay mucha gente lo cual es muy bueno Volvere pronto más dias muy buena atención!",5
116,"Un buen hotel vengo seguido y espero siga siendo así, diario vengo con mis amigos por el trabajo y duramos varios dias La señorita Kathia excelente se porto muy bien es amable y simpatica siempre con una sonrisa",5
117,"1. Las señoritas malas encaradas para hacer check in! Si interrumpi su cena grupal, no sabia que tenia que programar mi llegada. 2. Despues de que por fin me dieron mi habitacion ya reservada previamente me mandan al 8 piso al lado de un ""cuarto de maquinas"" que emitia sonidos que impidia descansar, solicite cambio de habitacion el cual fue concedido x una habitacion que apestaba a humedad, la alfombra mas sucia que habia visto con una telaraña en la ventana y sin funcionar el control de la tv ni los apagadores correctamente y sin toallas. Hasta que porfin su compañero (creo se llamaba julio) muy amablente nos cambio de habitacion solo que estaba muy sucio el baño. A la hora de hacer el checkout solicite mi factura para la cual habia dejado mis datos previamente y hasta",1
118,Cada año que vengo de negocios nos tratan muy bien y con muy buena actitud La señorita Maribel nos da ayuda con todo lo que necesitemos y la señorita Kathia también muy buena actitud Pienso volver al hotel,5
119,La señorita maribel cobos nos recibio muy bien y la señorita kathia Ivonne tambien nos ayudo a ponernos el internet muchas grasias chicas muy buena gente y regresare pronto Cada año estamos aca visitando,5
120,El hotel muy agradable todo muy centrico el trato de la camarista adriana muy amable la habitation limpia lo incomodo fue el aire que no servia marcamos a recepcion y nunca llego mantenimiento gracias x sus atenciones,5
121,"Llegue recientemente a la ciudad de Monterrey buscando hotel para tramitar mi pasaporte y unos amigos nos recomendaron el hotel misión,la atención de Idalia Meléndez y Uriel Cristóbal de recepción fue excelente,el próximo año regresaré a este hotel nuevamente",5
122,"La recepcionista Kathia Ivonne nos recibía con un excelente y majestuoso trato, la habitación es muy agradable pero deben de hacer refill de shampoo aún que no se termine por completo, deberían extender el horario de check out, también deberían extender el horario de restaurante o al menos atender en el último minuto antes de cerrar puesto que muchos que nos hospedamos salimos tarde del trabajo y lo que más quieres es ya no salir a comer y aprovechar el servicio del hotel.",5
123,Muy buenas instalaciones del hotel atendido por la señora gabriela muy buena trabajadora me atendio super bien durante el tiempo que estuve hospedado muy buen servicio espero regresar pronto gracias..,5
124,"Muy buenas instalaciones del hotel mision me ofrecieron muy buen servicio por parte de la señora Ana Gabriela me ofrecio muy buen servicio durante el tiempo que estube hospedado en el hotel, gracias y que sigan mostrando ese buen servicio y en buenas condiciones el hotel.",5
